Requets,Hits,HitRate,Evictions,CacheSize
10000,5724,0.5724,0,512
20000,11836,0.5918,0,512
30000,18227,0.6076,0,512
40000,24668,0.6167,0,512
50000,31097,0.6219,0,512
60000,37680,0.6280,0,512
70000,44375,0.6339,0,512
80000,50994,0.6374,0,512
90000,57634,0.6404,0,512
100000,64434,0.6443,0,512
110000,71162,0.6469,0,512
120000,77986,0.6499,0,512
130000,84823,0.6525,0,512
140000,91691,0.6549,0,512
150000,98651,0.6577,0,512
160000,105540,0.6596,0,512
170000,112526,0.6619,0,512
180000,119541,0.6641,0,512
190000,126646,0.6666,0,512
200000,133709,0.6685,0,512
210000,140730,0.6701,0,512
220000,147718,0.6714,0,512
230000,154847,0.6732,0,512
240000,161936,0.6747,0,512
250000,169003,0.6760,0,512
260000,176086,0.6773,0,512
270000,183313,0.6789,0,512
280000,190523,0.6804,0,512
290000,197742,0.6819,0,512
300000,205083,0.6836,0,512
310000,212295,0.6848,0,512
320000,219563,0.6861,0,512
330000,226865,0.6875,0,512
340000,234050,0.6884,0,512
350000,241403,0.6897,0,512
360000,248671,0.6908,0,512
370000,255978,0.6918,0,512
380000,263397,0.6932,0,512
390000,270814,0.6944,0,512
400000,278211,0.6955,0,512
410000,285556,0.6965,0,512
420000,292922,0.6974,0,512
430000,300317,0.6984,0,512
440000,307769,0.6995,0,512
450000,315218,0.7005,0,512
460000,322665,0.7014,0,512
470000,330012,0.7022,0,512
480000,337528,0.7032,0,512
490000,345053,0.7042,0,512
500000,352546,0.7051,0,512
510000,360131,0.7061,0,512
520000,367700,0.7071,0,512
530000,375431,0.7084,0,512
540000,383112,0.7095,0,512
550000,390615,0.7102,0,512
560000,398205,0.7111,0,512
570000,405730,0.7118,0,512
580000,413318,0.7126,0,512
590000,420948,0.7135,0,512
600000,428557,0.7143,0,512
610000,436163,0.7150,0,512
620000,443849,0.7159,0,512
630000,451537,0.7167,0,512
640000,459237,0.7176,0,512
650000,466961,0.7184,0,512
660000,474727,0.7193,0,512
670000,482403,0.7200,0,512
680000,490166,0.7208,0,512
690000,497774,0.7214,0,512
700000,505476,0.7221,0,512
710000,513092,0.7227,0,512
720000,520838,0.7234,0,512
730000,528728,0.7243,0,512
740000,536658,0.7252,0,512
750000,544496,0.7260,0,512
760000,552211,0.7266,0,512
770000,560081,0.7274,0,512
780000,568047,0.7283,0,512
790000,575909,0.7290,0,512
800000,583816,0.7298,0,512
810000,591556,0.7303,0,512
820000,599465,0.7311,0,512
830000,607319,0.7317,0,512
840000,615189,0.7324,0,512
850000,623084,0.7330,0,512
860000,631029,0.7338,0,512
870000,639065,0.7346,0,512
880000,646946,0.7352,0,512
890000,654868,0.7358,0,512
900000,662773,0.7364,0,512
910000,670735,0.7371,0,512
920000,678596,0.7376,0,512
930000,686508,0.7382,0,512
940000,694463,0.7388,0,512
950000,702407,0.7394,0,512
960000,710327,0.7399,0,512
970000,718220,0.7404,0,512
980000,726125,0.7409,0,512
990000,734069,0.7415,0,512
1000000,742044,0.7420,0,512
